Seq_Number,Site_Number,Site_Name,Lab_Number,Refs,Outer_Date_AD,Outer_Symbol,C_Level,Got it?,bibdex
7,15:23(GP),MUMMY CAVE NO. 2,CDM-303,"Dean 2008, Personal Communication",688,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-310,"Dean 2008, Personal Communication",819,V,2,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-312,"Dean 2008, Personal Communication",674,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-314,"Dean 2008, Personal Communication",688,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-319,"Dean 2008, Personal Communication",695,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-324,"Dean 2008, Personal Communication",739,#NAME?,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-325,"Dean 2008, Personal Communication",821,RLB,3,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-328,"Dean 2008, Personal Communication",691,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-329,"Dean 2008, Personal Communication",828,V,2,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-332,"Dean 2008, Personal Communication",822,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-341,"Dean 2008, Personal Communication",332,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-352,"Dean 2008, Personal Communication",686,V,2,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-354,"Dean 2008, Personal Communication",821,R,3,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-368,"Dean 2008, Personal Communication",858,VV,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-372,"Dean 2008, Personal Communication",487,R,3,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-375,"Dean 2008, Personal Communication",606,#NAME?,1,no,NA
7,15:23(GP),MUMMY CAVE NO. 2,CDM-380,"Dean 2008, Personal Communication",667,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-157,"Dean 2008, Personal Communication",715,V,2,no,NA
8,15:19(GP),TSE YA TSO,CDM-158,"Dean 2008, Personal Communication",715,V,2,no,NA
8,15:19(GP),TSE YA TSO,CDM-160,"Dean 2008, Personal Communication",702,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-164,"Dean 2008, Personal Communication",511,R,3,no,NA
8,15:19(GP),TSE YA TSO,CDM-165,"Dean 2008, Personal Communication",494,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-167,"Dean 2008, Personal Communication",309,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-171,"Dean 2008, Personal Communication",408,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-179,"Dean 2008, Personal Communication",341,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-187,"Dean 2008, Personal Communication",508,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-188,"Dean 2008, Personal Communication",508,#NAME?,3,no,NA
8,15:19(GP),TSE YA TSO,CDM-189,"Dean 2008, Personal Communication",509,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-194,"Dean 2008, Personal Communication",509,V,2,no,NA
8,15:19(GP),TSE YA TSO,CDM-196,"Dean 2008, Personal Communication",485,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-211,"Dean 2008, Personal Communication",332,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-219,"Dean 2008, Personal Communication",368,V,2,no,NA
8,15:19(GP),TSE YA TSO,CDM-229,"Dean 2008, Personal Communication",412,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-235,"Dean 2008, Personal Communication",503,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-236,"Dean 2008, Personal Communication",442,#NAME?,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-237,"Dean 2008, Personal Communication",305,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-240,"Dean 2008, Personal Communication",511,B,3,no,NA
8,15:19(GP),TSE YA TSO,CDM-246,"Dean 2008, Personal Communication",603,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-249,"Dean 2008, Personal Communication",509,RG,3,no,NA
8,15:19(GP),TSE YA TSO,CDM-271,"Dean 2008, Personal Communication",588,VV,1,no,NA
8,15:19(GP),TSE YA TSO,CDM-287,"Dean 2008, Personal Communication",296,VV,1,no,NA
76,"NA897",LONG HOUSE,GP-3209,"Kohler 2012, Personal Communication",1269,#NAME?,3,no,NA
76,"NA897",LONG HOUSE,GP-3210,"Ortman 2008, Personal Communication",1254,B,3,no,NA
76,"NA897",LONG HOUSE,GP-3212,"Kohler 2012, Personal Communication",1219,VV,1,no,NA
76,"NA897",LONG HOUSE,GP-3217,"Ortman 2008, Personal Communication",1268,VV,1,no,NA
76,"NA897",LONG HOUSE,GP-3218,"Ortman 2008, Personal Communication",1193,NA,3,no,NA
76,"NA897",LONG HOUSE,GP-3219,"Ortman 2008, Personal Communication",1240,V,2,no,NA
