Seq_Number,Site_Number,Site_Name,Lab_Number,Refs,Outer_Date_AD,Outer_Symbol,C_Level,Got it?,bibdex
3,"NA7422",VANDAL CAVE,GP-971,"Bannister, Dean and Gell 1966",549,NA,1,yes,Bannister1966-E
3,"NA7422",VANDAL CAVE,GP-972,"Bannister, Dean and Gell 1966",672,NA,3,yes,Bannister1966-E
3,"NA7422",VANDAL CAVE,GP-973,"Bannister, Dean and Gell 1966",672,NA,3,yes,Bannister1966-E
3,"NA7422",VANDAL CAVE,GP-975,"Bannister, Dean and Gell 1966",678,NA,2,yes,Bannister1966-E
3,"NA7422",VANDAL CAVE,GP-976,"Bannister, Dean and Gell 1966",683,NA,2,yes,Bannister1966-E
3,"NA7422",VANDAL CAVE,GP-978,"Bannister, Dean and Gell 1966",608,NA,2,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-980,"Bannister, Dean and Gell 1966",661,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-981,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-982,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-983,"Bannister, Dean and Gell 1966",667,NA,2,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-984,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-986,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-987,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-989,"Bannister, Dean and Gell 1966",663,NA,1,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-990,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-992,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-993,"Bannister, Dean and Gell 1966",667,NA,2,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-994,"Bannister, Dean and Gell 1966",499,NA,1,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-995,"Bannister, Dean and Gell 1966",611,NA,2,yes,Bannister1966-E
4,7:12(GP),TWIN CAVES,GP-997,"Bannister, Dean and Gell 1966",647,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,BE-32,"Bannister, Dean and Gell 1966",804,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,BE-33,"Bannister, Dean and Gell 1966",485,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,BE-34,"Bannister, Dean and Gell 1966",1268,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,BE-35,"Bannister, Dean and Gell 1966",1278,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,BE-36,"Bannister, Dean and Gell 1966",1271,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2953,"Bannister, Dean and Gell 1966",470,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2966,"Bannister, Dean and Gell 1966",656,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2973,"Bannister, Dean and Gell 1966",466,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2974,"Bannister, Dean and Gell 1966",337,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2983,"Bannister, Dean and Gell 1966",426,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2986,"Bannister, Dean and Gell 1966",564,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2987,"Bannister, Dean and Gell 1966",594,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2990,"Bannister, Dean and Gell 1966",537,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2991,"Bannister, Dean and Gell 1966",430,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2993,"Bannister, Dean and Gell 1966",575,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2995,"Bannister, Dean and Gell 1966",691,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2997,"Bannister, Dean and Gell 1966",306,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2998,"Bannister, Dean and Gell 1966",474,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-2999,"Bannister, Dean and Gell 1966",474,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3002,"Bannister, Dean and Gell 1966",670,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3016,"Bannister, Dean and Gell 1966",671,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3017,"Bannister, Dean and Gell 1966",552,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3018,"Bannister, Dean and Gell 1966",494,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3021,"Bannister, Dean and Gell 1966",747,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3022,"Bannister, Dean and Gell 1966",587,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3029,"Bannister, Dean and Gell 1966",666,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3032,"Bannister, Dean and Gell 1966",444,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3035,"Bannister, Dean and Gell 1966",413,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,GP-3036,"Bannister, Dean and Gell 1966",492,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-126,"Bannister, Dean and Gell 1966",644,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-128,"Bannister, Dean and Gell 1966",678,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-129,"Bannister, Dean and Gell 1966",486,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-135,"Bannister, Dean and Gell 1966",591,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-136,"Bannister, Dean and Gell 1966",380,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-137,"Bannister, Dean and Gell 1966",657,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-139,"Bannister, Dean and Gell 1966",658,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-141,"Bannister, Dean and Gell 1966",441,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-142,"Bannister, Dean and Gell 1966",433,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-143,"Bannister, Dean and Gell 1966",358,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-145,"Bannister, Dean and Gell 1966",667,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-147,"Bannister, Dean and Gell 1966",649,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-149,"Bannister, Dean and Gell 1966",427,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-151,"Bannister, Dean and Gell 1966",684,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-152,"Bannister, Dean and Gell 1966",430,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-155,"Bannister, Dean and Gell 1966",703,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-159,"Bannister, Dean and Gell 1966",367,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-160,"Bannister, Dean and Gell 1966",702,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-162,"Bannister, Dean and Gell 1966",680,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-163,"Bannister, Dean and Gell 1966",666,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-164,"Bannister, Dean and Gell 1966",677,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-166,"Bannister, Dean and Gell 1966",493,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-190,"Bannister, Dean and Gell 1966",496,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-195,"Bannister, Dean and Gell 1966",437,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-65,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-66,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-67,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-68,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-69,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-70,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-71,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-72,"Bannister, Dean and Gell 1966",1283,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-73,"Bannister, Dean and Gell 1966",1277,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-74,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-75,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-76,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-77,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-78,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-79,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-81,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-82,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-83,"Bannister, Dean and Gell 1966",1283,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-85A,"Bannister, Dean and Gell 1966",1283,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-85B,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-86,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-87,"Bannister, Dean and Gell 1966",1284,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-88,"Bannister, Dean and Gell 1966",1281,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-89,"Bannister, Dean and Gell 1966",1282,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-90,"Bannister, Dean and Gell 1966",1279,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-91,"Bannister, Dean and Gell 1966",1280,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-92,"Bannister, Dean and Gell 1966",1253,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-93,"Bannister, Dean and Gell 1966",1272,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-94,"Bannister, Dean and Gell 1966",1282,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-95,"Bannister, Dean and Gell 1966",1272,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-96,"Bannister, Dean and Gell 1966",1277,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-97,"Bannister, Dean and Gell 1966",1270,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-98,"Bannister, Dean and Gell 1966",1279,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-101,"Bannister, Dean and Gell 1966",485,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-102,"Bannister, Dean and Gell 1966",410,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-105,"Bannister, Dean and Gell 1966",353,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-106,"Bannister, Dean and Gell 1966",348,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-109,"Bannister, Dean and Gell 1966",439,NA,1,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-117,"Bannister, Dean and Gell 1966",502,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-118,"Bannister, Dean and Gell 1966",496,NA,2,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-119,"Bannister, Dean and Gell 1966",413,NA,3,yes,Bannister1966-E
6,"NA2186",MUMMY CAVE,M-125,"Bannister, Dean and Gell 1966",489,NA,2,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,CDM-303,"Dean 2008, Personal Communication",688,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-310,"Dean 2008, Personal Communication",819,V,2,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-312,"Dean 2008, Personal Communication",674,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-314,"Dean 2008, Personal Communication",688,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-319,"Dean 2008, Personal Communication",695,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-324,"Dean 2008, Personal Communication",739,#NAME?,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-325,"Dean 2008, Personal Communication",821,RLB,3,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-328,"Dean 2008, Personal Communication",691,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-329,"Dean 2008, Personal Communication",828,V,2,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-332,"Dean 2008, Personal Communication",822,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-341,"Dean 2008, Personal Communication",332,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-352,"Dean 2008, Personal Communication",686,V,2,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-354,"Dean 2008, Personal Communication",821,R,3,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-368,"Dean 2008, Personal Communication",858,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-372,"Dean 2008, Personal Communication",487,R,3,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-375,"Dean 2008, Personal Communication",606,#NAME?,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,CDM-380,"Dean 2008, Personal Communication",667,VV,1,yes,Dean2008
7,15:23(GP),MUMMY CAVE NO. 2,GP-3038,"Bannister, Dean and Gell 1966",624,NA,1,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,GP-3055,"Bannister, Dean and Gell 1966",821,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,GP-3056,"Bannister, Dean and Gell 1966",859,NA,2,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,GP-3057,"Bannister, Dean and Gell 1966",821,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-168,"Bannister, Dean and Gell 1966",821,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-169,"Bannister, Dean and Gell 1966",829,NA,1,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-170,"Bannister, Dean and Gell 1966",822,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-175,"Bannister, Dean and Gell 1966",749,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-176,"Bannister, Dean and Gell 1966",828,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-177,"Bannister, Dean and Gell 1966",822,NA,3,yes,Bannister1966-E
7,15:23(GP),MUMMY CAVE NO. 2,M-179,"Bannister, Dean and Gell 1966",703,NA,3,yes,Bannister1966-E
