Seq_Number,Site_Number,Site_Name,Lab_Number,Refs,Outer_Date_AD,Outer_Symbol,C_Level
,29SJ1659,,SHV-11,Windes 2018:467-477,242,vv,1
,29SJ1659,,CNM-611,Windes 2018:467-477,272,vv,1
,29SJ1659,,SHV-9,Windes 2018:467-477,275,vv,1
,29SJ1659,,GP-2477,Windes 2018:467-477,327,vv,1
,29SJ1659,,GP-2465,Windes 2018:467-477,352,vv,1
,29SJ1659,,GP-2462,Windes 2018:467-477,428,vv,1
,29SJ1659,,CNM-608,Windes 2018:467-477,456,vv,1
,29SJ1659,,SHV-8,Windes 2018:467-477,537,vv,1
,29SJ1659,,CNM-607,Windes 2018:467-477,554,vv,1
,29SJ1659,,JPB-159,Windes 2018:467-477,557,vv,1
,29SJ1659,,GP-2470,Windes 2018:467-477,581,vv,1
,29SJ1678,,JPB-11,Windes 2018:467-477,777,r,3
,29SJ299,,CNM-70,Windes 2018:467-477,221,vv,1
,29SJ299,,CNM-57,Windes 2018:467-477,355,vv,1
,29SJ299,,CNM-51,Windes 2018:467-477,367,vv,1
,29SJ299,,CNM-44,Windes 2018:467-477,435,vv,1
,29SJ299,,CNM-62,Windes 2018:467-477,449,vv,1
,29SJ299,,CNM-68,Windes 2018:467-477,480,vv,1
,29SJ299,,CNM-87,Windes 2018:467-477,482,vv,1
,29SJ299,,CNM-75,Windes 2018:467-477,490,vv,1
,29SJ299,,CNM-67,Windes 2018:467-477,515,vv,1
,29SJ299,,CNM-61,Windes 2018:467-477,516,vv,1
,29SJ299,,CNM-45,Windes 2018:467-477,519,vv,1
,29SJ299,,CNM-30,Windes 2018:467-477,523,vv,1
,29SJ299,,CNM-46,Windes 2018:467-477,530,vv,1
,29SJ299,,CNM-110,Windes 2018:467-477,544,vv,1
,29SJ299,,CNM-101,Windes 2018:467-477,553,vv,1
,29SJ299,,CNM-124,Windes 2018:467-477,553,vv,1
,29SJ299,,CNM-41,Windes 2018:467-477,554,vv,1
,29SJ299,,CNM-120,Windes 2018:467-477,584,vv,1
,29SJ299,,CNM-125,Windes 2018:467-477,584,v,2
,29SJ299,,CNM-151,Windes 2018:467-477,593,vv,1
