Region,Site Name,Provenience,TRL Spec. No.,Species,Inside Date,Inside Suffix,Outside Date,Outside Suffix,Type of Date,TRLControl,Site No.
MesaVerde,20 1/2 House,Comp. Roof splint.,TWE-106,JUN,1205,p,1267,rB,Cutting,6V-083,
MesaVerde,20 1/2 House,Horiz intramural,TWE-101,PNN,1111,,1269,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Kiva roof splint?,TWE-126,JUN,1210,,1266,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Kiva roof splint?,TWE-127,JUN,1200,,1266,+r,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Kiva roof splint?,TWE-128,JUN,1209,,1266,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Kiva roof splint?,TWE-132,JUN,1189,p,1266,+r,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Kiva roof splint?,TWE-133,JUN,1194,,1266,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Roof pole?,TWE-123,JUN,1200,,1262,v,Cutting,6V-083,
MesaVerde,20 1/2 House,Inc. Roof splint.,TWE-067,JUN,1107,,1235,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,GP-7046,PNN,1183,p,1256,vv,Non-Cutting,6V-083,MV1676
MesaVerde,20 1/2 House,Kiva D,MVC-1947,JUN,919,p,1184,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1948,JUN,1046,,1148,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1949,JUN,1152,,1221,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1950,JUN,1112,,1236,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1951,DF,999,,1113,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1954,JUN,962,,1125,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva D,MVC-1955,JUN,871,,1110,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Kiva roof splint?,TWE-125,JUN,1179,,1264,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Loose log.,TWE-080,DF,1201,p,1258,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Primary beam.,TWE-135,DF,1155,,1235,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Primary beam?,TWE-095,PNN,1128,,1253,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Primary beam?,TWE-097,PNN,1115,,1201,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof pole?,"TWE-096, 98",DF,1184,,1259,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof pole?,TWE-099,JUN,907,p,1079,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof pole?,TWE-100,PNN,1120,p,1257,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof pole?,TWE-121,JUN,1157,p,1264,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-071,JUN,945,,1019,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-074,JUN,968,,1127,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-082,JUN,690,,776,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-083,JUN,963,,1068,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-084,JUN,918,,1057,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Roof splint.,TWE-104,JUN,926,,1030,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Room 05,TWE-013,PNN,1205,,1257,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Room 05,TWE-015,JUN,1224,+/-p,1277,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-022,JUN,1209,+/-p,1256,v comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-023,JUN,1155,+/-p,1256,v inc.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-024,JUN,1208,+/-,1261,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-025,JUN,1170,+/-p,1256,LB inc.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-026,JUN,1177,+/-p,1256,L comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-028,JUN,1187,+/-p,1256,LB comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 06,TWE-029,JUN,1212,,1253,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Room 24,"TWE-057, TWE-056",JUN,1211,+/-,1272,B comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 25,TWE-053,JUN,1225,+/-p,1267,B comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 28,TWE-058,JUN,1170,,1268,v inc.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 32,TWE-049,JUN,1206,,1267,LB comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 32b,TWE-041,JUN,1164,+/-p,1211,L comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 32b,TWE-042,JUN,1200,p,1267,B inc.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 32b,TWE-043,JUN,1203,,1267,B comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,Room 33,TWE-046,JUN,1202,+/-,1254,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,Room 42,TWE-008,JUN,1200,+/-,1253,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,Room 44,TWE-036,JUN,1172,+/-p,1264,v inc.,Cutting,6V-083,
MesaVerde,20 1/2 House,Story 1 roof fall.,TWE-091,JUN,802,,879,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,"Story 1, secondary beam.",TWE-086,JUN,1135,p,1211,vv,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,,MVC-1952,JUN,1181,,1267,L comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,,MVC-1953,JUN,1202,,1267,LB comp.,Cutting,6V-083,
MesaVerde,20 1/2 House,,TWE-037,JUN,926,,1170,#NAME?,Non-Cutting,6V-083,
MesaVerde,20 1/2 House,,TWE-038,JUN,1161,+/-,1205,#NAME?,Near Cutting,6V-083,
MesaVerde,20 1/2 House,,TWE-079,PNN,1204,,1268,vv,Non-Cutting,6V-083,
FourCorners,4-10-7-534,Kiva,MLS-01,JUN,941,p,1113,#NAME?,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Kiva,MLS-02,JUN,1013,np,1135,vv,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Kiva,MLS-03,JUN,925,,994,vv,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Kiva,MLS-05,JUN,945,,1109,vv,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Kiva,MLS-08,JUN,926,,1038,#NAME?,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Kiva,MLS-19,JUN,956,p,1139,vv,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Pithouse,MLS-11,JUN,1056,fp,1136,vv,Non-Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Room 1,MLS-14,PNN,757,p,827,r,Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Room 1,MLS-16,DF,780,,829,v,Cutting,44W-073,4-10-7-534
FourCorners,4-10-7-534,Room 1,MLS-17,DF,745,,809,#NAME?,Non-Cutting,44W-073,4-10-7-534
FourCorners,42SA00222,,BBU-12,DF,1127,p,1223,v,Cutting,44W-020,42SA00222
FourCorners,42SA00971,comp. F,UWM-592,JUN,648,+/-P,755,rB comp.,Cutting,44W-075,
FourCorners,42SA00971,comp. F,UWM-593,JUN,652,+/-P,755,r comp.,Cutting,44W-075,
FourCorners,42SA00971,comp. F,UWM-598,JUN,415,,581,vv,Non-Cutting,44W-075,
FourCorners,42SA00971,secondary level,UWM-590,PNN,618,P,745,#NAME?,Non-Cutting,44W-075,
FourCorners,42SA00971,Square 69,UWM-589,JUN,657,,749,vv,Non-Cutting,44W-075,
FourCorners,42SA00971,,UWM-601,JUN,476,,557,#NAME?,Non-Cutting,44W-075,
FourCorners,42SA00971,,UWM-602,JUN,618,+/-P,745,#NAME?,Non-Cutting,44W-075,
FourCorners,42SA03775,"Feathre 3A, antechamber",UWM-496,JUN,551,+/-,691,v inc.,Cutting,44W-141,
FourCorners,42SA03775,"Feathre 3A, antechamber",UWM-498,JUN,514,+/-p,685,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feathre 3A, antechamber",UWM-519,JUN,526,+/-p,690,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feathre 3A, antechamber",UWM-520,JUN,540,+/-p,674,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 1,UWM-481,JUN,534,,628,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 1,UWM-483,JUN,507,+/-,632,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 2,UWM-487,JUN,465,,683,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 2,UWM-489,JUN,442,+/-p,637,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 2,UWM-491,JUN,433,,545,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 2,UWM-492,JUN,563,,683,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 3,UWM-525,JUN,585,+/-p,690,r comp.,Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-500,JUN,370,+/-p,663,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-501,JUN,522,,666,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-503,JUN,434,,598,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-505,JUN,501,+/-p,684,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-506,JUN,451,+/-p,669,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-510,JUN,429,+/-p,683,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-512,PP,437,p,537,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-515,JUN,398,+/-,683,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, Main room",UWM-516,JUN,441,p,636,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, pit",UWM-521,PP,446,p,550,vv,Non-Cutting,44W-141,
FourCorners,42SA03775,"Feature 3, trench",UWM-522,JUN,490,+/-p,564,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA03775,Feature 3.34,UWM-523,JUN,528,+/-p,674,#NAME?,Non-Cutting,44W-141,
FourCorners,42SA05559,"Pithouse, lower firepit",UWM-109,JUN,1111,p,1202,vv,Non-Cutting,44W-110,
FourCorners,42SA05559,"Pithouse, trench C",UWM-113,DF,719,p,805,vv,Non-Cutting,44W-110,
FourCorners,42SA05559,,UWM-120,DF,740,p,839,r,Cutting,44W-110,
FourCorners,42SA06381,Feature 1,UWM-203,PNN,1152,,1238,vv,Non-Cutting,44W-117,
FourCorners,42SA06385,"Pit structure, firepit",UWM-186,PNN,933,p,1054,vv,Non-Cutting,44W-115,
