VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
,,,Colorado A:9:19,,133,,,,,,CMV,Yes,,Issue
,,,Site 1 (Reed),LA2390,135,,,LA2390,135,Reed 1,CMV,,,Yes
,,,Site 4 (Reed),LA2387,136,,,LA2387,136,Reed 4,CMV,,,Yes
,,,Two Kiva House,,137,Two Kiva House,5MT13098,,137,Morris 3,CMV,,,Yes
TWO KIVAS ROCK ART SITE,5MT13599,,,,,Two Kivas Rock Art Site,5MT13599,,,,CMV,,,Yes
Lion House,5MT2156,,Lion House,5MT2156,138,Lion House,5MT2156,,138,,CMV,,,Yes
Morris 33,5MT2831,,"Morris Site 33, La Plata",5MT2831,729,La Plata,5MT2831,,139; 729,Morris 33,CMV,,,Yes
,,,Site 33 (Morris),,139,La Plata,5MT2831,,139; 729,Morris 33,CMV,,,Yes
,,,Buried Cliff Ruin,,143,Buried Cliff Ruin,,,,,CMV,,,Yes
BURIED HOUSE>BURIED KIVA HOUSE>BROKEN CAVE,5MV510,,,,,Buried House,5MV510,,,Buried Kiva House; Broken Cave,CMV,,,Yes
,,,Snowshoe Ruin,,144,Snowshoe Ruin,,,144,,CMV,,,Yes
SNOW SHOW MOUND,5MT10488,,,,,Snow Show Mound,5MT10488,,,,CMV,,,Yes
Yucca House,5MT5006,,Yucca House,5MT5006,145,Yucca House,5MT5006,,145,,CMV,,,Yes
Cut Throat Castle,5MT603,,Cut Throat Castle,5MT603,146,Cutthroat Castle,5MT603,,146,Colorado A:9:11,CMV,,,Yes
CUTTHROAT CASTLE GROUP,5MT4102,,,,,Cutthroat Castle Group,5MT4102,,,,CMV,,,Yes
,5MV155,,Mesa Verde 155(Gp),5MV155,147,,5MV155,,147,Gila Pueblo 155,CMV,,,Yes
,,,Colorado A:9:8,,148,,,,,,CMV,Yes,,Issue
BALCONY HOUSE~GILA PUEBLO 117~RUIN 10 (NORDENSKIOLD),5MV615,,Balcony House,5MV615,149,Balcony House,5MV615,,149,Gila Pueblo 117; Nordenskiold 10,CMV,,,Yes
Sun Temple Ridge Community,5MV133,,Mesa Verde 133(Gp),5MV133,150,,5MV133,,150,Gila Pueblo 133,CMV,,,Yes
MINI TRAIN VILLAGE,5MV1937,,MINI TRAIN VILLAGE,5MV1937,152,Mini Train Village,5MV1937,,152,,CMV,,,Yes
BONE AWL HOUSE>BONEAWL HOUSE,5MT12556,,Bone Awl House,,153,Bone Awl House,5MT12556,,153,,CMV,,,Yes
BUZZARD HOUSE; GILA PUEBLO 128,5MV1070,,Buzzard House,,154,Buzzard House,5MV1070,,154,Gila Pueblo 128,CMV,,,Yes
,,,Casa Colorado,,155,Casa Colorado,,,155,,CMV,,,Yes
CLIFF PALACE~RUIN 2(NORDENSKIOLD)~GILA PUEBLO 126,5MV625,,Cliff Palace,,156,Cliff Palace,5MV625,,156,Nordenskiold 2; Gila Pueblo 126,CMV,,,Yes
TWIN TREES PUEBLO; GILA PUEBLO 103,5MV102,,Twin Trees Pueblo,5MV102,157,Twin Trees Pueblo,5MV102,,157,Gila Pueblo 103,CMV,,,Yes
TWIN TREES VILLAGE;GILA PUEBLO 103,5MV103,,,,,Twin Trees Village,5MV103,,,Gila Pueblo 103,CMV,,,Yes
,,,Dick's Ruin,,158,Dick's Ruin,,,158,,CMV,,,Yes
PITHOUSE A>LINTON'S EARTH LODGE A>GILA PUEBLO 37,5MV118,,Earth Lodge A,,159,Earth Lodge A,5MV118,,159,Pithouse A; Linton's Earth Lodge A; Gila Pueblo 37,CMV,,,Yes
PITHOUSE B,5MV117,,Earth Lodge B,,160,Earth Lodge B,5MV117,,160,,CMV,,,Yes
COYOTE VILLAGE~GILA PUEBLO 47~FAR VIEW NO. 6,5MV820,,Mesa Verde 820(Nps),,151,Coyote Village,5MV820,,,Gila Pueblo 47; Far View No. 6,CMV,,,Yes
,,,"Farview Group, No. 6",5MV808,817,Far View House,5MV808,,,Gila Pueblo 139; Far View Ruin,CMV,,,Yes
FAR VIEW HOUSE; GILA PUEBLO 139,5MV808,,Farview House,,161,Far View House,5MV808,,,Gila Pueblo 139; Far View Ruin,CMV,,,Yes
,,,Farview No. 6,,162,,,,,,CMV,,,Issue
,,,Farview No. 7a,,163,,,,,,CMV,,,Issue
,,,Farview No. 8,,164,,,,,,CMV,,,Issue
,,,Farview No. 9,,165,,,,,,CMV,,,Issue
,,,Farview No. 12,,166,,,,,,CMV,,,Issue
